CultCode,제목,장소,startDate,startTime,EndDate,EndTime,지하철
148599,[노원문화재단] 노원즐거운콘서트x찾아가는 버스킹_8월,경춘선 화랑대 철도공원 / 노원구청 로비,2024-08-01,12:00,2024-08-31,,"""노원역"""
148381,[시민청] 2024 시민청 활력콘서트 8월 공연,시민청 B1 활짝라운지,2024-08-01,12:10,2024-08-29,12:50,"""시청역"", ""을지로입구역"""
147878,DDP 여름축제: 디자인 바이브,DDP 일대,2024-08-01,13:00,2024-08-03,22:00,"""동대문역사문화공원역"""
148430,[노들섬] Look at ME 청년 마음 전시 [랜덤 다이버시티 2024 : 더 레터],노들라운지,2024-08-01,13:00,2024-09-29,21:00,"""용산역"", ""신용산역"", ""노들역"""
148175,서울연극센터 공간개방축제 [연극 - 하기와 보기],서울연극센터 1~4층 곳곳,2024-08-01,15:00,2024-08-04,22:00,"""혜화역"""
148242,"[시민청] 공간지원사업 - 창작극 [인생, 네 컷]",시민청 지하 2층 바스락홀,2024-08-01,19:30,2024-08-02,,"""시청역"", ""을지로입구역"""
148236,[송파문화재단] SAL-ON CONCERT [한여름밤의 무도],석촌호수 아뜰리에,2024-08-02,,2024-08-02,,"""석촌고분역"""
147538,[세종문화회관] 이준화 바이올린 독주회,세종체임버홀,2024-08-02,,2024-08-02,,"""광화문역"", ""경복궁역"""
147637,"[종로문화재단] 청소년 뮤지컬 [오디세우스, 길을 찾는 자]",종로 아이들극장,2024-08-02,,2024-08-04,,"""한성대입구역"", ""혜화역"""
147533,[세종문화회관] 김신록X손현선 [없는 시간 (가제)] _싱크넥스트24,세종S씨어터,2024-08-02,,2024-08-04,,"""광화문역"", ""경복궁역"""
148528,2024 서울경기춤페스타,"서울돈화문국악당, 국민대학교 예술관 대극장",2024-08-02,,2024-08-06,,"""안국역"""
148791,[도봉문화재단] 2024년 함석헌기념관 씨알갤러리 하반기 1차 대관 전시 곽미선 개인전 [평면과 입체사이],함석헌기념관 씨알갤러리,2024-08-02,09:00,2024-08-16,18:00,"""쌍문역"""
148324,[송파문화재단] 솔라해피아워 디지털 아카이브 전시,송파도서관 1층 창의공작소,2024-08-02,09:00,2024-08-21,18:00,"""개롱역"", ""잠실역"", ""가락시장역"", ""복정역"""
148549,[DDP] 서울시와 Google이 함께하는 새싹 잡 페스티벌,"DDP 아트홀 1, 2관, 컨퍼런스홀",2024-08-02,10:00,2024-08-02,18:00,"""동대문역사문화공원역"""
148555,[성동문화재단] REVIVE : 산책,성수 아뜰리에,2024-08-02,10:00,2024-08-10,18:00,
148329,[돈의문박물관마을X갤러리아미디 기획전]  마음이 고양고양,돈의문박물관마을 시민갤러리,2024-08-02,10:00,2024-08-29,18:00,"""서대문역"""
148661,[종로문화재단] 삼청공원 숲속도서관 [생태도서 전시],삼청공원 숲속도서관,2024-08-02,10:00,2024-09-30,19:00,"""안국역"", ""광화문역"""
